Department,Hourly Rate 
Information Technology,$82.67
Information Technology,$82.36
Law Department,$82.3
Seattle Police Department,$82.3
Seattle Police Department,$82.3
Seattle Police Department,$82.3
Seattle Police Department,$82.3
Law Department,$82.3
Information Technology,$82.28
Information Technology,$82.28
Information Technology,$82.28
Information Technology,$82.27
Information Technology,$82.26
Seattle Police Department,$82.26
Information Technology,$82.25
Information Technology,$82.25
Information Technology,$82.25
Information Technology,$82.25
Information Technology,$82.25
Information Technology,$82.25
Information Technology,$82.25
Seattle Police Department,$82.12
Information Technology,$82.1
Emergency Management Office,$82.1
Law Department,$82.09
Intergovernmental Relations,$82.09
Mayor's Office,$82.05
Information Technology,$82.04
Information Technology,$82.04
City Auditor's Office,$82.03
Information Technology,$82.01
Mayor's Office,$82.
Mayor's Office,$82.
Mayor's Office,$82.
Mayor's Office,$82.
Information Technology,$81.79
Information Technology,$81.75
Information Technology,$81.58
Information Technology,$81.57
Information Technology,$81.57
Information Technology,$81.52
Information Technology,$81.5
Information Technology,$81.49
Information Technology,$81.49
Information Technology,$81.47
Information Technology,$81.47
Information Technology,$81.47
Mayor's Office,$81.42
Information Technology,$81.41
Information Technology,$81.41
Seattle Police Department,$81.19
Human Resources,$81.18
Information Technology,$81.12
Information Technology,$81.11
Law Department,$81.06
Human Resources,$81.06
Seattle Police Department,$81.06
Information Technology,$80.93
Seattle Police Department,$80.93
Information Technology,$80.84
Information Technology,$80.82
Seattle Police Department,$80.65
Information Technology,$80.59
Information Technology,$80.59
Intergovernmental Relations,$80.56
Seattle Police Department,$80.52
Seattle Police Department,$80.52
Seattle Police Department,$80.52
Seattle Police Department,$80.52
Seattle Police Department,$80.52
Information Technology,$80.49
Seattle Police Department,$80.41
Information Technology,$80.29
Employees Retirement System,$80.24
Employees Retirement System,$80.24
Information Technology,$80.19
Seattle Police Department,$80.16
Information Technology,$80.11
Information Technology,$80.11
Information Technology,$80.11
Information Technology,$80.11
Information Technology,$80.11
Information Technology,$80.11
Mayor's Office,$80.
Information Technology,$79.81
Law Department,$79.71
Law Department,$79.71
Law Department,$79.71
Law Department,$79.71
Law Department,$79.71
Information Technology,$79.67
Information Technology,$79.65
Information Technology,$79.63
Information Technology,$79.62
Seattle Police Department,$79.54
Seattle Police Department,$79.54
Information Technology,$79.47
Seattle Police Department,$79.26
Seattle Police Department,$79.26
Information Technology,$79.21
Information Technology,$79.21
Information Technology,$79.21
Information Technology,$79.21
Information Technology,$79.21
Information Technology,$79.21
Information Technology,$79.21
Mayor's Office,$79.21
Information Technology,$79.21
Mayor's Office,$79.21
Information Technology,$79.21
Information Technology,$79.15
Information Technology,$79.15
Information Technology,$79.08
Information Technology,$79.08
Information Technology,$79.06
Information Technology,$79.06
Information Technology,$79.06
Seattle Police Department,$79.05
Seattle Police Department,$79.05
